t,ax,ay,az
0,-12.75,-11.75,-22.75
0.009523809523809525,-12.5,-11.25,-22.25
0.01904761904761905,-12.75,-11.25,-22.25
0.028571428571428574,-12.75,-12.0,-22.5
0.0380952380952381,-13.0,-11.75,-22.5
0.04761904761904762,-12.5,-11.5,-22.5
0.05714285714285715,-12.75,-11.75,-22.0
0.06666666666666668,-12.5,-12.0,-22.25
0.0761904761904762,-12.5,-11.25,-22.5
0.08571428571428572,-12.75,-11.5,-22.25
0.09523809523809525,-12.5,-11.5,-22.75
0.10476190476190478,-13.0,-11.5,-22.5
0.1142857142857143,-12.75,-11.25,-22.75
0.12380952380952381,-12.75,-11.75,-22.25
0.13333333333333336,-12.5,-11.75,-22.25
0.14285714285714288,-12.75,-11.25,63.25
0.1523809523809524,-12.75,-11.25,63.25
0.1619047619047619,-12.5,-11.75,63.0
0.17142857142857143,-12.75,-11.5,63.25
0.18095238095238098,-12.5,-11.75,63.5
0.1904761904761905,-12.75,-11.25,63.5
0.2,-12.5,-11.5,63.75
0.20952380952380956,-12.75,-11.5,63.75
0.21904761904761907,-13.25,-11.5,64.25
0.2285714285714286,-12.5,-11.25,64.0
0.2380952380952381,-12.75,-11.75,64.0
0.24761904761904763,-12.5,-11.5,64.25
0.2571428571428572,-12.75,-11.75,64.5
0.2666666666666667,-12.5,-11.75,65.0
0.2761904761904762,-12.75,-11.75,64.75
0.28571428571428575,-12.75,-11.5,65.5
0.29523809523809524,-12.5,-11.25,65.25
0.3047619047619048,-12.75,-11.5,65.0
0.31428571428571433,-13.0,-11.5,65.5
0.3238095238095238,-12.5,-11.75,65.25
0.33333333333333337,-12.75,-11.25,65.75
0.34285714285714286,-12.5,-12.0,65.75
0.3523809523809524,-12.5,-11.75,65.75
0.36190476190476195,-12.75,-11.5,66.25
0.37142857142857144,-12.5,-11.0,66.5
0.380952380952381,-12.25,-12.0,66.25
0.39047619047619053,-13.0,-11.75,66.75
0.4,-12.5,-11.5,67.0
0.40952380952380957,-12.25,-11.5,66.75
0.4190476190476191,-12.5,-11.25,67.25
0.4285714285714286,-13.0,-11.25,66.75
0.43809523809523815,-12.25,-11.75,67.5
0.44761904761904764,-12.5,-11.75,67.75
0.4571428571428572,-12.75,-11.75,68.0
0.46666666666666673,-12.25,-11.25,68.0
0.4761904761904762,-12.75,-11.75,68.0
0.48571428571428577,-12.75,-11.5,68.0
0.49523809523809526,-13.0,-11.75,68.5
0.5047619047619049,-12.75,-11.5,68.5
0.5142857142857143,-12.25,-12.0,68.5
0.5238095238095238,-12.75,-11.75,68.75
0.5333333333333334,-12.5,-11.75,69.25
0.5428571428571429,-12.5,-11.25,68.75
0.5523809523809524,-12.5,-12.0,69.0
0.5619047619047619,-12.75,-11.5,69.5
0.5714285714285715,-12.5,-11.75,69.5
0.580952380952381,-12.5,-11.75,69.5
0.5904761904761905,-12.75,-11.5,69.25
0.6,-12.5,-11.25,70.0
0.6095238095238096,-13.0,-10.0,70.0
0.6190476190476191,-13.0,-10.25,70.0
0.6285714285714287,-12.5,-10.25,70.5
0.6380952380952382,-13.25,-10.25,70.5
0.6476190476190476,-13.0,-10.0,70.75
0.6571428571428573,-12.75,-10.5,70.75
0.6666666666666667,-13.25,-10.25,70.5
0.6761904761904762,-13.0,-10.25,70.75
0.6857142857142857,-12.75,-10.5,71.0
0.6952380952380953,-13.0,-10.5,71.5
0.7047619047619048,-13.0,-10.25,71.75
0.7142857142857143,-12.75,-10.25,71.5
0.7238095238095239,-12.75,-10.5,72.25
0.7333333333333334,-13.0,-10.25,72.0
0.7428571428571429,-13.25,-10.25,72.0
0.7523809523809525,-12.75,-10.0,72.25
0.761904761904762,-13.25,-10.0,72.0
0.7714285714285715,-13.0,-10.25,72.5
0.7809523809523811,-12.75,-10.5,72.25
0.7904761904761906,-12.75,-10.5,73.0
0.8,-13.0,-10.5,73.0
0.8095238095238096,-13.0,-10.5,73.25
0.8190476190476191,-13.25,-10.25,73.0
0.8285714285714286,-13.0,-10.25,73.5
0.8380952380952382,-13.0,-10.25,73.25
0.8476190476190477,-13.0,-10.25,73.5
0.8571428571428572,-13.25,-10.25,73.75
0.8666666666666667,-12.75,-10.5,74.0
0.8761904761904763,-13.0,-10.5,74.0
0.8857142857142858,-12.75,-10.5,74.25
0.8952380952380953,-12.75,-10.25,74.5
0.9047619047619049,-13.0,-10.5,74.5
0.9142857142857144,-12.75,-10.25,74.5
0.9238095238095239,-13.0,-10.75,74.75
0.9333333333333335,-12.5,-10.5,75.25
0.942857142857143,-12.75,-10.25,75.0
0.9523809523809524,-12.75,-10.25,76.0
0.961904761904762,-13.0,-10.5,75.5
0.9714285714285715,-13.0,-10.75,75.5
0.980952380952381,-13.0,-10.25,75.75
0.9904761904761905,-12.5,-10.5,76.0
1.0,-12.75,-10.25,76.0
1.0095238095238097,-12.5,-10.75,76.25
1.0190476190476192,-12.5,-10.75,76.5
1.0285714285714287,-12.75,-10.5,76.25
1.0380952380952382,-12.5,-11.0,76.75
1.0476190476190477,-12.75,-10.5,77.0
1.0571428571428572,-13.0,-10.25,77.0
1.0666666666666669,-12.5,-10.5,76.75
1.0761904761904764,-12.5,-10.75,77.0
1.0857142857142859,-12.75,-11.0,77.25
1.0952380952380953,-12.75,-10.75,77.5
1.1047619047619048,-12.75,-10.5,77.5
1.1142857142857143,-12.5,-10.75,77.5
1.1238095238095238,-12.5,-10.5,78.0
1.1333333333333335,-12.25,-11.0,78.0
1.142857142857143,-12.5,-10.75,78.0
1.1523809523809525,-12.0,-10.75,78.5
1.161904761904762,-12.25,-11.25,78.25
1.1714285714285715,-12.25,-10.5,78.75
1.180952380952381,-12.0,-11.25,78.5
1.1904761904761907,-12.0,-11.25,79.5
1.2,-12.5,-10.75,78.5
1.2095238095238097,-12.25,-11.0,78.75
1.2190476190476192,-12.0,-11.25,79.5
1.2285714285714286,-12.25,-11.0,79.5
1.2380952380952381,-12.0,-11.0,79.5
1.2476190476190476,-11.75,-11.25,80.0
1.2571428571428573,-12.0,-11.5,80.0
1.2666666666666668,-12.0,-11.25,80.25
1.2761904761904763,-11.5,-11.0,80.25
1.2857142857142858,-11.75,-11.0,80.25
1.2952380952380953,-11.75,-10.75,80.5
1.3047619047619048,-11.75,-11.0,80.75
1.3142857142857145,-11.5,-10.75,81.0
1.323809523809524,-11.75,-11.25,81.0
1.3333333333333335,-11.5,-11.5,81.25
1.342857142857143,-11.75,-10.75,81.5
1.3523809523809525,-11.5,-11.25,81.5
1.361904761904762,-11.5,-11.25,81.75
1.3714285714285714,-11.5,-10.75,82.0
1.3809523809523812,-11.25,-11.0,81.75
1.3904761904761906,-11.75,-11.25,81.75
1.4000000000000001,-11.5,-11.25,81.75
1.4095238095238096,-11.5,-11.25,82.0
1.4190476190476191,-11.0,-11.5,82.25
1.4285714285714286,-11.75,-11.0,82.25
1.4380952380952383,-11.0,-11.25,82.0
1.4476190476190478,-11.5,-11.0,82.0
1.4571428571428573,-11.25,-11.0,82.25
1.4666666666666668,-11.5,-11.0,82.25
1.4761904761904763,-11.0,-11.0,82.5
1.4857142857142858,-11.25,-11.5,82.25
1.4952380952380955,-11.0,-11.0,82.25
1.504761904761905,-11.25,-10.75,83.0
1.5142857142857145,-11.25,-10.75,82.25
1.523809523809524,-11.5,-11.0,82.5
1.5333333333333334,-11.75,-10.75,82.75
1.542857142857143,-11.5,-10.5,82.75
1.5523809523809524,-11.5,-11.0,82.75
1.5619047619047621,-11.5,-11.0,82.5
1.5714285714285716,-11.5,-11.0,82.75
1.580952380952381,-11.75,-10.75,82.75
1.5904761904761906,-11.75,-10.0,83.0
1.6,-11.75,-10.75,82.75
1.6095238095238096,-12.0,-10.75,83.0
1.6190476190476193,-11.75,-10.75,82.75
1.6285714285714288,-11.75,-10.0,82.75
1.6380952380952383,-12.0,-9.75,82.75
1.6476190476190478,-12.0,-10.5,82.75
1.6571428571428573,-11.75,-10.0,83.5
1.6666666666666667,-12.25,-10.25,83.5
1.6761904761904765,-12.5,-10.0,82.75
1.685714285714286,-12.5,-9.5,83.5
1.6952380952380954,-12.25,-10.0,83.25
1.704761904761905,-12.25,-10.25,83.75
1.7142857142857144,-12.25,-9.75,83.25
1.723809523809524,-12.25,-9.75,83.25
1.7333333333333334,-12.75,-10.0,83.5
1.742857142857143,-12.5,-10.0,83.25
1.7523809523809526,-12.75,-10.0,83.25
1.761904761904762,-12.5,-10.25,83.75
1.7714285714285716,-12.5,-9.5,83.75
1.780952380952381,-12.75,-10.0,83.5
1.7904761904761906,-12.75,-10.0,83.5
1.8,-12.25,-10.0,83.25
1.8095238095238098,-13.25,-9.5,83.5
1.8190476190476192,-12.75,-9.75,83.75
1.8285714285714287,-12.75,-9.75,83.75
1.8380952380952382,-13.0,-9.75,83.75
1.8476190476190477,-13.25,-9.75,83.5
1.8571428571428572,-13.25,-9.75,83.75
1.866666666666667,-12.75,-10.25,84.0
1.8761904761904764,-13.5,-9.75,84.0
1.885714285714286,-13.0,-10.0,84.0
1.8952380952380954,-13.0,-9.25,84.25
1.9047619047619049,-13.0,-9.75,83.75
1.9142857142857144,-13.25,-9.75,83.75
1.923809523809524,-13.25,-10.0,83.75
1.9333333333333336,-13.0,-10.0,83.75
1.942857142857143,-13.0,-10.25,83.75
1.9523809523809526,-13.0,-10.25,84.25
1.961904761904762,-13.25,-10.25,84.0
1.9714285714285715,-12.75,-10.0,84.25
1.980952380952381,-12.75,-10.25,84.0
1.9904761904761907,-12.75,-10.5,84.25
2.0,-12.5,-10.5,84.0
2.0095238095238095,-13.0,-10.5,84.25
2.0190476190476194,-12.5,-10.5,83.75
2.028571428571429,-12.75,-10.0,84.25
2.0380952380952384,-12.5,-10.75,84.0
2.047619047619048,-12.25,-10.5,84.0
2.0571428571428574,-12.25,-10.5,84.5
2.066666666666667,-11.75,-10.25,84.25
2.0761904761904764,-12.5,-11.0,84.0
2.085714285714286,-12.0,-10.5,84.25
2.0952380952380953,-12.5,-11.0,84.25
2.104761904761905,-12.0,-10.75,84.75
2.1142857142857143,-12.0,-10.5,84.25
2.123809523809524,-11.75,-11.0,84.25
2.1333333333333337,-12.0,-11.25,84.25
2.1428571428571432,-11.5,-11.25,84.75
2.1523809523809527,-11.75,-11.25,84.0
2.161904761904762,-11.75,-11.25,84.5
2.1714285714285717,-11.75,-11.0,84.25
2.180952380952381,-11.75,-11.0,84.5
2.1904761904761907,-11.75,-11.25,84.5
2.2,-11.75,-11.25,84.25
2.2095238095238097,-11.5,-11.25,84.25
2.219047619047619,-11.25,-10.75,84.25
2.2285714285714286,-11.5,-11.0,84.25
2.238095238095238,-11.25,-11.0,84.25
2.2476190476190476,-11.5,-11.0,84.5
2.2571428571428576,-11.5,-11.0,84.0
2.266666666666667,-11.5,-11.0,84.5
2.2761904761904765,-11.25,-10.75,84.0
2.285714285714286,-11.5,-11.0,84.0
2.2952380952380955,-11.5,-10.75,84.25
2.304761904761905,-11.75,-10.75,84.25
2.3142857142857145,-11.75,-10.5,84.5
2.323809523809524,-11.5,-10.5,84.25
2.3333333333333335,-11.5,-10.25,84.0
2.342857142857143,-11.75,-10.5,84.25
2.3523809523809525,-12.0,-10.25,84.5
2.361904761904762,-11.75,-10.0,84.0
2.3714285714285714,-12.0,-10.25,84.5
2.3809523809523814,-12.0,-10.25,84.25
2.390476190476191,-11.75,-10.0,84.0
2.4,-12.25,-9.75,84.5
2.40952380952381,-12.25,-10.5,84.25
2.4190476190476193,-12.25,-10.0,84.0
2.428571428571429,-12.5,-9.75,84.25
2.4380952380952383,-12.5,-10.25,84.25
2.447619047619048,-12.5,-10.25,84.25
2.4571428571428573,-12.25,-10.0,84.0
2.466666666666667,-13.25,-10.25,83.75
2.4761904761904763,-13.0,-10.0,84.0
2.4857142857142858,-12.75,-9.75,84.0
2.4952380952380953,-12.75,-9.75,84.0
2.504761904761905,-12.75,-10.0,83.75
2.5142857142857147,-12.5,-10.0,84.0
2.523809523809524,-12.75,-10.0,84.25
2.5333333333333337,-12.75,-9.75,83.5
2.542857142857143,-12.75,-10.25,84.0
2.5523809523809526,-12.75,-10.0,83.75
2.561904761904762,-13.0,-9.75,83.75
2.5714285714285716,-12.75,-10.0,84.0
2.580952380952381,-13.0,-10.25,83.75
2.5904761904761906,-12.5,-10.0,83.5
2.6,-12.75,-10.25,84.0
2.6095238095238096,-12.5,-10.5,83.5
2.619047619047619,-12.75,-10.25,84.25
2.628571428571429,-12.25,-10.25,83.5
2.6380952380952385,-12.5,-10.5,83.75
2.647619047619048,-12.0,-10.75,83.75
2.6571428571428575,-12.25,-10.5,83.5
2.666666666666667,-12.0,-10.5,83.75
2.6761904761904765,-12.0,-10.75,83.5
2.685714285714286,-12.25,-10.5,83.5
2.6952380952380954,-11.75,-10.75,83.5
2.704761904761905,-12.0,-10.5,83.0
2.7142857142857144,-12.25,-10.75,83.25
2.723809523809524,-11.5,-11.0,83.25
2.7333333333333334,-11.75,-10.25,82.75
2.742857142857143,-12.25,-10.75,82.5
2.752380952380953,-12.0,-10.75,82.0
2.7619047619047623,-11.25,-10.75,82.0
2.771428571428572,-11.5,-11.0,81.5
2.7809523809523813,-11.25,-10.5,81.25
