t,pressure
10.18,74778.29725253124
10.200000000000001,74740.88689580178
10.22,74703.61042175449
10.24,74666.39679715158
10.26,74629.23644332684
10.28,74592.12930051156
10.3,74555.07531057736
10.32,74518.08209783022
10.34,74481.22317342045
10.36,74444.41709915125
10.38,74407.66381883051
10.4,74370.96327370117
10.42,74334.31540785542
10.44,74297.74040330331
10.46,74261.28575893631
10.48,74224.88349564589
10.5,74188.53355741294
10.52,74152.23588772674
10.540000000000001,74115.99043111592
10.56,74079.82534645342
10.58,74043.77131981484
10.6,74007.76921273854
10.620000000000001,73971.81897134254
10.64,73935.9205397952
10.66,73900.07386432843
10.68,73864.31054648275
10.700000000000001,73828.65354370608
10.72,73793.04801036953
10.74,73757.49389382961
10.76,73721.99114011347
10.78,73686.53969767249
10.8,73651.17011717509
10.82,73615.90662180676
10.84,73580.69415562513
10.86,73545.53266741843
10.88,73510.42210434281
10.9,73475.36241499701
10.92,73440.37864948207
10.94,73405.50520275894
10.96,73370.68235197064
10.98,73335.9100474024
11.0,73301.18823705996
11.02,73266.51687146931
11.040000000000001,73231.91108981543
11.06,73197.42428369004
11.08,73162.987648444
11.1,73128.60113449754
11.120000000000001,73094.26469183035
11.14,73059.97827133587
11.16,73025.74273394186
11.18,72991.63920928676
11.200000000000001,72957.58543696949
11.22,72923.58136925849
11.24,72889.62695669374
11.26,72855.7221514929
11.28,72821.86690434499
11.3,72788.12565675702
11.32,72754.45144557113
11.34,72720.82652843482
11.36,72687.25085677076
11.38,72653.72438418203
11.4,72620.24706213763
11.42,72586.85963060087
11.44,72553.56172440096
11.46,72520.31270916005
11.48,72487.11253729797
11.5,72453.96116253387
11.52,72420.85853816848
11.540000000000001,72387.8174592715
11.56,72354.89264847233
11.58,72322.0163318129
11.6,72289.18846245753
11.620000000000001,72256.40899584498
11.64,72223.6778857902
11.66,72190.99508767361
11.68,72158.4209016186
11.700000000000001,72125.91412637841
11.72,72093.45540945516
11.74,72061.04470660433
11.76,72028.68197245797
11.78,71996.36716368269
11.8,71964.12347554961
11.82,71931.98312805117
11.84,71899.89045595101
11.86,71867.8454161813
11.88,71835.84796429897
11.9,71803.89805707094
11.92,71771.99565087227
11.94,71740.20067433616
11.96,71708.47098276818
11.98,71676.78854760194
12.0,71645.15332508374
12.02,71613.56527357877
12.040000000000001,71582.02434993377
12.06,71550.54439114007
12.08,71519.17465892629
12.1,71487.85181281356
12.120000000000001,71456.5758106827
12.14,71425.34661118657
12.16,71394.16417192639
12.18,71363.02845240389
12.200000000000001,71331.97944017529
12.22,71301.013207055
12.24,71270.09345487725
12.26,71239.22014338823
12.280000000000001,71208.39323104576
12.3,71177.61267743757
12.32,71146.87844178404
12.34,71116.25099957154
12.36,71085.68456058663
12.38,71055.16420574918
12.4,71024.68989415413
12.42,70994.26158687653
12.44,70963.87924357093
12.46,70933.54370523564
12.48,70903.32767315376
12.5,70873.15737393472
12.52,70843.03276819311
12.540000000000001,70812.95381726672
12.56,70782.92048150924
12.58,70752.93272305052
12.6,70723.00157416954
12.620000000000001,70693.17844887759
12.64,70663.40067258468
12.66,70633.66820764144
12.68,70603.98101519591
12.700000000000001,70574.33905745255
12.72,70544.74229627145
12.74,70515.20644106685
12.76,70485.77263492257
12.780000000000001,70456.38380176734
12.8,70427.0399033357
12.82,70397.74090321727
12.84,70368.48676367207
12.86,70339.27744823665
12.88,70310.12788445278
12.9,70281.0798512002
12.92,70252.07642070072
12.94,70223.11755677937
12.96,70194.20322234427
12.98,70165.33338196477
13.0,70136.5079985769
13.02,70107.73582912651
13.040000000000001,70079.07004859377
13.06,70050.44850863366
13.08,70021.87117288631
13.1,69993.33800598413
13.120000000000001,69964.84897223656
13.14,69936.40403660097
13.16,69908.00316314142
13.18,69879.71344011264
13.200000000000001,69851.47029309499
13.22,69823.27099562409
13.24,69795.1155123759
13.26,69767.00380922119
13.280000000000001,69738.93585093482
13.3,69710.91160324842
13.32,69682.98044610268
13.34,69655.1122129713
13.36,69627.28747985969
13.38,69599.50621359816
13.4,69571.76837948813
13.42,69544.07394450888
13.44,69516.42287443337
13.46,69488.8417197697
13.48,69461.34494156936
13.5,69433.89132166827
13.52,69406.48082664884
13.540000000000001,69379.11342370133
13.56,69351.78907917981
13.58,69324.50776094508
13.6,69297.2694353762
13.620000000000001,69270.13942963713
13.64,69243.05348814605
13.66,69216.01033707339
13.68,69189.00994343692
13.700000000000001,69162.05227515043
13.72,69135.13730013375
13.74,69108.26498572376
13.76,69081.46690598088
13.780000000000001,69054.74523682617
13.8,69028.06602856309
13.82,69001.42925028503
13.84,68974.8348699424
13.86,68948.2828565689
13.88,68921.77317820334
13.9,68895.3058037521
13.92,68868.93817749115
13.94,68842.61955708917
13.96,68816.3430448022
13.98,68790.10860928973
14.0,68763.91621953211
14.02,68737.76584557667
14.040000000000001,68711.65745636128
14.06,68685.60435996673
14.08,68659.64302384533
14.1,68633.72347963946
14.120000000000001,68607.84569729572
14.14,68582.00964621651
14.16,68556.21529713157
14.18,68530.46261966333
14.200000000000001,68504.75158374454
14.22,68479.10900460354
14.24,68453.54318359194
14.26,68428.01881533494
14.280000000000001,68402.53586988467
14.3,68377.09431810744
14.32,68351.69413060234
14.34,68326.33527850112
14.36,68301.01773219844
14.38,68275.77525879178
14.4,68250.60111677501
14.42,68225.46809509223
14.44,68200.3761646348
14.46,68175.32529727886
14.48,68150.31546399633
14.5,68125.34663654647
14.52,68100.41878642951
14.540000000000001,68075.56621986265
14.56,68050.77999073903
14.58,68026.03455651057
14.6,68001.32988857421
14.620000000000001,67976.66595971085
14.64,67952.04274170565
14.66,67927.46020729684
14.68,67902.91832834603
14.700000000000001,67878.44567935115
14.72,67854.04366521831
14.74,67829.68212715382
14.76,67805.36103741231
14.780000000000001,67781.08036949186
14.8,67756.8400956671
14.82,67732.64018955229
14.84,67708.48062379625
14.86,67684.37810993634
14.88,67660.35667929183
14.9,67636.37541256416
14.92,67612.4342830412
14.94,67588.53326449786
14.96,67564.67233003896
14.98,67540.85145397267
15.0,67517.07060942081
15.02,67493.32977080384
15.040000000000001,67469.68423768702
15.06,67446.07968270182
15.08,67422.51495998088
15.1,67398.99004386578
15.120000000000001,67375.5049084625
15.14,67352.05952834585
15.16,67328.6538774408
15.18,67305.2879308389
15.200000000000001,67281.99219778655
15.22,67258.76085799419
15.24,67235.56905187323
15.26,67212.41675464915
15.280000000000001,67189.30394075235
15.3,67166.23058530643
15.32,67143.19666320627
15.34,67120.20214980116
15.36,67097.24705490925
15.38,67074.38549647004
15.4,67051.56317897516
15.42,67028.78007843894
15.44,67006.03617000321
15.46,66983.3314296501
15.48,66960.66583258889
15.5,66938.03935470102
15.52,66915.45197164618
15.540000000000001,66892.92078027451
15.56,66870.46458427841
15.58,66848.04731928512
15.6,66825.66896086127
15.620000000000001,66803.32948575797
15.64,66781.0288698754
15.66,66758.76708992761
15.68,66736.54412187931
15.700000000000001,66714.35994234704
15.72,66692.241122568
15.74,66670.18639098908
15.76,66648.17028641992
15.780000000000001,66626.19278621896
15.8,66604.25386670177
15.82,66582.3535053285
15.84,66560.49167873409
15.860000000000001,66538.66836434271
15.88,66516.88353885198
15.9,66495.16580681503
15.92,66473.50871787897
15.94,66451.88995986833
15.96,66430.30950980367
15.98,66408.76734573659
16.0,66387.2634447048
16.02,66365.7977848558
16.04,66344.37034353698
16.06,66322.98109886116
16.080000000000002,66301.65341620163
16.1,66280.39022899095
16.12,66259.1650826968
16.14,66237.97795559501
16.16,66216.82882540947
16.18,66195.71767086124
16.2,66174.64446968831
16.22,66153.60920070477
16.240000000000002,66132.61184194892
16.26,66111.66341441976
16.28,66090.79047859108
16.3,66069.95530052144
16.32,66049.15785875847
16.34,66028.39813224366
16.36,66007.67609938055
16.38,65986.9917395395
16.4,65966.34503113774
16.42,65945.73595363593
16.44,65925.16448574269
16.46,65904.66997148877
16.48,65884.22120737063
16.5,65863.80990329327
16.52,65843.43603846311
16.54,65823.09959246514
16.56,65802.8005443624
16.580000000000002,65782.53887415549
16.6,65762.314560921
16.62,65742.12758474734
16.64,65721.99013222338
16.66,65701.9243208213
16.68,65681.89569903073
16.7,65661.90424687369
16.72,65641.94994419401
16.740000000000002,65622.03277120148
16.76,65602.15270760003
16.78,65582.30973400267
16.8,65562.50383012679
16.82,65542.73497667088
16.84,65523.02707831616
16.86,65503.37778827202
16.88,65483.76540385089
16.9,65464.18990568913
16.92,65444.65127424915
16.94,65425.149490348034
16.96,65405.68453431274
16.98,65386.25638735173
17.0,65366.8650298053
17.02,65347.5104429651
17.04,65328.21967095673
17.06,65308.98312304462
17.080000000000002,65289.78320352681
17.1,65270.61989363563
17.12,65251.49317443483
17.14,65232.403027332046
17.16,65213.34943325993
17.18,65194.33237400574
17.2,65175.35183051537
17.22,65156.407784657036
17.240000000000002,65137.52197598204
17.26,65118.694544656966
17.28,65099.90347092044
17.3,65081.14873658281
17.32,65062.43032329255
17.34,65043.748213031824
17.36,65025.10238732247
17.38,65006.49282851487
17.400000000000002,64987.919518144015
17.42,64969.38243863903
17.44,64950.88961953211
17.46,64932.46784641208
17.48,64914.08216613022
17.5,64895.73256105667
17.52,64877.41901340813
17.54,64859.14150572571
17.56,64840.90002010464
17.580000000000002,64822.69453944329
17.6,64804.525045849965
17.62,64786.39152229964
17.64,64768.293951144035
17.66,64750.26036614822
17.68,64732.27676852131
17.7,64714.328987624955
17.72,64696.41700638523
17.740000000000002,64678.54080742266
17.76,64660.70037411399
17.78,64642.89568920655
17.8,64625.12673562495
17.82,64607.39349688304
17.84,64589.69595588325
17.86,64572.03409610766
17.88,64554.44596806887
17.900000000000002,64536.89683402723
17.92,64519.38324690315
17.94,64501.905190450445
17.96,64484.462647777924
17.98,64467.05560228049
18.0,64449.68403817639
18.02,64432.34793902945
18.04,64415.04728827236
18.06,64397.782069905625
18.080000000000002,64380.55226741518
18.1,64363.39590963913
18.12,64346.27766424963
18.14,64329.19470249787
18.16,64312.14700810566
18.18,64295.13456552962
18.2,64278.1573585083
18.22,64261.21537156931
18.240000000000002,64244.30858867394
18.26,64227.43699432803
18.28,64210.60057253913
18.3,64193.79930775118
18.32,64177.0610017214
18.34,64160.370191027425
18.36,64143.71440646285
18.38,64127.09363234882
18.400000000000002,64110.50785317444
18.42,64093.95705396551
18.44,64077.44121919286
18.46,64060.96033385564
18.48,64044.514382587004
18.5,64028.10335069554
18.52,64011.727223534945
18.54,63995.393111998965
18.56,63979.12637621937
18.580000000000002,63962.894416461706
18.6,63946.697218099616
18.62,63930.5347670184
18.64,63914.40704857962
18.66,63898.31404864039
18.68,63882.25575260056
18.7,63866.232146256865
18.72,63850.24321540752
18.740000000000002,63834.288945590546
18.76,63818.36932297331
18.78,63802.499088905104
18.8,63786.687695835
18.82,63770.91082274788
18.84,63755.16845557709
18.86,63739.460580738516
18.88,63723.78718420933
18.900000000000002,63708.14825234758
18.92,63692.54377143557
18.94,63676.97372804048
18.96,63661.43810832835
18.98,63645.936898728796
19.0,63630.470085700326
19.02,63615.04780908871
19.04,63599.68806483746
19.06,63584.362591264486
19.080000000000002,63569.07137489304
19.1,63553.81440246525
19.12,63538.591660827224
19.14,63523.403136526846
19.16,63508.24881669876
19.18,63493.12868798767
19.2,63478.04273717489
19.22,63462.990951498294
19.240000000000002,63447.97331771986
19.26,63432.98982305082
19.28,63418.07112638354
19.3,63403.19342468483
19.32,63388.34973734658
19.34,63373.54005132574
19.36,63358.76435415214
19.38,63344.02263288101
19.400000000000002,63329.314874700554
19.42,63314.64106724254
19.44,63300.00119768423
19.46,63285.39525364786
19.48,63270.8232223565
19.5,63256.28509138209
19.52,63241.780903466824
19.54,63227.347398647005
19.56,63212.94767069713
19.580000000000002,63198.5817070848
19.6,63184.24949541089
19.62,63169.95102370865
19.64,63155.686279565314
19.66,63141.45525099088
19.68,63127.25792560755
19.7,63113.09429137629
19.72,63098.964336260586
19.740000000000002,63084.86804800395
19.76,63070.80541489075
19.78,63056.77642476948
19.8,63042.80962656317
19.82,63028.8838711043
19.84,63014.9916363491
19.86,63001.13291069968
19.88,62987.30768218635
19.900000000000002,62973.515939168225
19.92,62959.75766994149
19.94,62946.03286304831
19.96,62932.34150668931
19.98,62918.68358929285
20.0,62905.059099314116
20.02,62891.468025242066
20.04,62877.91035560048
20.06,62864.39134842726
20.080000000000002,62850.93563000494
20.1,62837.51319479192
20.12,62824.12403145315
20.14,62810.76812841292
20.16,62797.445475084794
20.18,62784.15605995419
20.2,62770.89987177302
20.22,62757.676899687336
20.240000000000002,62744.48713243853
20.26,62731.33055915423
20.28,62718.20716861062
20.3,62705.11694989368
20.32,62692.059892093144
20.34,62679.03705045518
20.36,62666.08054788622
20.38,62653.15708609779
20.400000000000002,62640.26665421007
20.42,62627.40924173243
20.44,62614.58483779305
20.46,62601.79343189568
20.48,62589.03501320482
20.5,62576.309571185055
20.52,62563.61709530518
20.54,62550.95757484242
20.56,62538.33099954787
20.580000000000002,62525.73735878238
20.6,62513.17664201983
20.62,62500.648839103866
20.64,62488.16678107152
20.66,62475.73802648229
20.68,62463.34206679337
20.7,62450.97889182299
20.72,62438.6484913963
20.740000000000002,62426.35085516099
20.76,62414.08597325638
20.78,62401.85383546287
20.8,62389.65443167019
20.82,62377.48775212428
20.84,62365.353786706866
20.86,62353.25252565017
20.88,62341.183958870424
20.900000000000002,62329.14807656532
20.92,62317.14486888163
20.94,62305.17922835254
20.96,62293.27356115912
20.98,62281.40045117268
21.0,62269.55988871067
21.02,62257.75186412294
21.04,62245.9763677928
21.06,62234.23339013518
21.080000000000002,62222.52292160005
21.1,62210.84495267916
21.12,62199.199473897745
21.14,62187.586475812765
21.16,62176.005949012324
21.18,62164.45788411642
21.2,62152.94227177652
21.22,62141.45910267539
21.240000000000002,62130.00836752755
21.26,62118.598046296065
21.28,62107.2432346633
21.3,62095.92074084721
21.32,62084.63055571255
21.34,62073.37267015661
21.36,62062.147075108536
21.38,62050.9537615293
21.400000000000002,62039.79272041129
21.42,62028.66394278234
21.44,62017.56741971099
21.46,62006.50314229817
21.48,61995.471101676136
21.5,61984.471289008325
21.52,61973.50369548936
21.54,61962.56831234524
21.56,61951.66513083286
21.580000000000002,61940.79414224068
21.6,61929.97354368211
21.62,61919.19675416339
21.64,61908.4520427979
21.66,61897.739401022445
21.68,61887.05882030593
21.7,61876.41029214865
21.72,61865.79380808218
21.740000000000002,61855.20935966947
21.76,61844.656938508364
21.78,61834.136536236976
21.8,61823.64814452603
21.82,61813.19175507693
21.84,61802.76735962258
21.86,61792.37494992678
21.88,61782.01451778458
21.900000000000002,61771.68605502215
21.92,61761.38955349681
21.94,61751.127704912215
21.96,61740.92367761294
21.98,61730.75149812121
22.0,61720.61115844166
22.02,61710.502650610266
22.04,61700.42596669466
22.06,61690.381098793594
22.080000000000002,61680.36803903716
22.1,61670.386779589026
22.12,61660.43731265321
22.14,61650.51963046743
22.16,61640.63372530023
22.18,61630.77958945169
22.2,61620.95721525308
22.22,61611.16659506678
22.240000000000002,61601.40772128666
22.26,61591.680586337796
22.28,61581.98518267675
