0.00,0.00
0.01,0.3618
0.02,0.3319
0.03,0.3195
0.04,0.3354
0.05,0.3444
0.06,0.3499
0.07,0.3534
0.08,0.3557
0.09,0.3572
0.10,0.3582
0.11,0.3589
0.12,0.3593
0.13,0.3595
0.14,0.3597
0.15,0.3597
0.16,0.3596
0.17,0.3595
0.18,0.3594
0.19,0.3592
0.20,0.3590
0.21,0.3588
0.22,0.3585
0.23,0.3583
0.24,0.3581
0.25,0.3578
0.26,0.3579
0.27,0.3580
0.28,0.3581
0.29,0.3583
0.30,0.3584
0.31,0.3585
0.32,0.3586
0.33,0.3587
0.34,0.3588
0.35,0.3590
0.36,0.3591
0.37,0.3592
0.38,0.3594
0.39,0.3595
0.40,0.3596
0.41,0.3598
0.42,0.3599
0.43,0.3601
0.44,0.3602
0.45,0.3604
0.46,0.3605
0.47,0.3607
0.48,0.3609
0.49,0.3610
0.50,0.3612
0.51,0.3614
0.52,0.3616
0.53,0.3618
0.54,0.3620
0.55,0.3622
0.56,0.3624
0.57,0.3626
0.58,0.3628
0.59,0.3631
0.60,0.3633
0.61,0.3636
0.62,0.3638
0.63,0.3641
0.64,0.3644
0.65,0.3647
0.66,0.3650
0.67,0.3653
0.68,0.3657
0.69,0.3660
0.70,0.3664
0.71,0.3669
0.72,0.3673
0.73,0.3678
0.74,0.3684
0.75,0.3690
0.76,0.3696
0.77,0.3704
0.78,0.3712
0.79,0.3721
0.80,0.3731
0.81,0.3742
0.82,0.3755
0.83,0.3770
0.84,0.3787
0.85,0.3807
0.86,0.3831
0.87,0.3859
0.88,0.3895
0.89,0.3939
0.90,0.3996
0.91,0.4071
0.92,0.4170
0.93,0.4304
0.94,0.4489
0.95,0.4745
0.96,0.5097
0.97,0.5573
0.98,0.5996
0.99,0.6225
1.00,0.6449
