0.00,0.00
0.01,0.3618
0.02,0.3319
0.03,0.3151
0.04,0.3039
0.05,0.2958
0.06,0.2895
0.07,0.2846
0.08,0.2805
0.09,0.2771
0.10,0.2742
0.11,0.2718
0.12,0.2696
0.13,0.2678
0.14,0.2662
0.15,0.2647
0.16,0.2635
0.17,0.2623
0.18,0.2613
0.19,0.2604
0.20,0.2596
0.21,0.2589
0.22,0.2582
0.23,0.2576
0.24,0.2571
0.25,0.2566
0.26,0.2562
0.27,0.2559
0.28,0.2555
0.29,0.2553
0.30,0.2551
0.31,0.2549
0.32,0.2547
0.33,0.2546
0.34,0.2545
0.35,0.2545
0.36,0.2544
0.37,0.2544
0.38,0.2544
0.39,0.2545
0.40,0.2546
0.41,0.2547
0.42,0.2548
0.43,0.2550
0.44,0.2552
0.45,0.2554
0.46,0.2557
0.47,0.2560
0.48,0.2563
0.49,0.2567
0.50,0.2571
0.51,0.2576
0.52,0.2581
0.53,0.2587
0.54,0.2593
0.55,0.2600
0.56,0.2607
0.57,0.2615
0.58,0.2624
0.59,0.2633
0.60,0.2643
0.61,0.2654
0.62,0.2666
0.63,0.2679
0.64,0.2693
0.65,0.2708
0.66,0.2725
0.67,0.2743
0.68,0.2762
0.69,0.2783
0.70,0.2806
0.71,0.2831
0.72,0.2859
0.73,0.2890
0.74,0.2924
0.75,0.2962
0.76,0.3005
0.77,0.3053
0.78,0.3108
0.79,0.3170
0.80,0.3241
0.81,0.3323
0.82,0.3418
0.83,0.3527
0.84,0.3653
0.85,0.3799
0.86,0.3967
0.87,0.4158
0.88,0.4371
0.89,0.4599
0.90,0.4827
0.91,0.5042
0.92,0.5234
0.93,0.5385
0.94,0.5471
0.95,0.5283
0.96,0.5389
0.97,0.5562
0.98,0.5772
0.99,0.6015
1.00,0.6284
