# Atlas_v1.0 (Up to date)
# 1159 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26,4 m/s):  "main"
#
# Tempo (s),Massa (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
27.121,2.61e4,15.644,0.081,182.921
27.224,2.61e4,15.644,0.081,182.921
27.327,2.61e4,15.644,0.081,182.921
27.431,2.61e4,15.644,0.081,182.921
27.536,2.61e4,15.644,0.081,182.921
27.642,2.61e4,15.644,0.081,182.921
27.749,2.61e4,15.644,0.081,182.921
27.858,2.61e4,15.644,0.081,182.921
27.969,2.61e4,15.644,0.081,182.921
28.082,2.61e4,15.644,0.081,182.921
28.197,2.61e4,15.644,0.081,182.921
28.315,2.61e4,15.644,0.081,182.921
28.436,2.61e4,15.644,0.081,182.921
28.561,2.61e4,15.644,0.081,182.921
28.691,2.61e4,15.644,0.081,182.921
28.825,2.61e4,15.644,0.081,182.921
28.965,2.61e4,15.644,0.081,182.921
29.112,2.61e4,15.644,0.081,182.921
29.266,2.61e4,15.644,0.081,182.921
29.43,2.61e4,15.644,0.081,182.921
29.604,2.61e4,15.644,0.081,182.921
29.792,2.61e4,15.644,0.081,182.921
29.997,2.61e4,15.644,0.081,182.921
30.222,2.61e4,15.644,0.081,182.921
30.473,2.61e4,15.644,0.081,182.921
30.758,2.61e4,15.644,0.081,182.921
31.09,2.61e4,15.644,0.081,182.921
31.487,2.61e4,15.644,0.081,182.921
31.987,2.61e4,15.644,0.081,182.921
32.487,2.61e4,15.644,0.081,182.921
32.987,2.61e4,15.644,0.081,182.921
33.487,2.61e4,15.644,0.081,182.921
33.987,2.61e4,15.644,0.081,182.921
34.487,2.61e4,15.644,0.081,182.921
34.987,2.61e4,15.644,0.081,182.921
35.487,2.61e4,15.644,0.081,182.921
35.987,2.61e4,15.644,0.081,182.921
36.487,2.61e4,15.644,0.081,182.921
36.987,2.61e4,15.644,0.081,182.921
37.487,2.61e4,15.644,0.081,182.921
37.987,2.61e4,15.644,0.081,182.921
38.487,2.61e4,15.644,0.081,182.921
38.987,2.61e4,15.644,0.081,182.921
39.487,2.61e4,15.644,0.081,182.921
39.987,2.61e4,15.644,0.081,182.921
40.487,2.61e4,15.644,0.081,182.921
40.987,2.61e4,15.644,0.081,182.921
41.487,2.61e4,15.644,0.081,182.921
41.987,2.61e4,15.644,0.081,182.921
42.487,2.61e4,15.644,0.081,182.921
42.987,2.61e4,15.644,0.081,182.921
43.487,2.61e4,15.644,0.081,182.921
43.987,2.61e4,15.644,0.081,182.921
44.487,2.61e4,15.644,0.081,182.921
44.987,2.61e4,15.644,0.081,182.921
45.487,2.61e4,15.644,0.081,182.921
45.987,2.61e4,15.644,0.081,182.921
46.487,2.61e4,15.644,0.081,182.921
46.987,2.61e4,15.644,0.081,182.921
47.487,2.61e4,15.644,0.081,182.921
47.987,2.61e4,15.644,0.081,182.921
48.487,2.61e4,15.644,0.081,182.921
48.987,2.61e4,15.644,0.081,182.921
49.487,2.61e4,15.644,0.081,182.921
49.987,2.61e4,15.644,0.081,182.921
50.487,2.61e4,15.644,0.081,182.921
50.987,2.61e4,15.644,0.081,182.921
51.487,2.61e4,15.644,0.081,182.921
51.987,2.61e4,15.644,0.081,182.921
52.487,2.61e4,15.644,0.081,182.921
52.987,2.61e4,15.644,0.081,182.921
53.487,2.61e4,15.644,0.081,182.921
53.987,2.61e4,15.644,0.081,182.921
54.487,2.61e4,15.644,0.081,182.921
54.987,2.61e4,15.644,0.081,182.921
55.487,2.61e4,15.644,0.081,182.921
55.987,2.61e4,15.644,0.081,182.921
56.487,2.61e4,15.644,0.081,182.921
56.987,2.61e4,15.644,0.081,182.921
57.487,2.61e4,15.644,0.081,182.921
57.987,2.61e4,15.644,0.081,182.921
58.487,2.61e4,15.644,0.081,182.921
58.987,2.61e4,15.644,0.081,182.921
59.487,2.61e4,15.644,0.081,182.921
59.987,2.61e4,15.644,0.081,182.921
60.487,2.61e4,15.644,0.081,182.921
60.987,2.61e4,15.644,0.081,182.921
61.487,2.61e4,15.644,0.081,182.921
61.987,2.61e4,15.644,0.081,182.921
62.487,2.61e4,15.644,0.081,182.921
62.987,2.61e4,15.644,0.081,182.921
63.487,2.61e4,15.644,0.081,182.921
63.987,2.61e4,15.644,0.081,182.921
64.487,2.61e4,15.644,0.081,182.921
64.987,2.61e4,15.644,0.081,182.921
65.487,2.61e4,15.644,0.081,182.921
65.987,2.61e4,15.644,0.081,182.921
66.487,2.61e4,15.644,0.081,182.921
66.987,2.61e4,15.644,0.081,182.921
67.487,2.61e4,15.644,0.081,182.921
67.987,2.61e4,15.644,0.081,182.921
68.487,2.61e4,15.644,0.081,182.921
68.987,2.61e4,15.644,0.081,182.921
69.487,2.61e4,15.644,0.081,182.921
69.987,2.61e4,15.644,0.081,182.921
70.487,2.61e4,15.644,0.081,182.921
70.987,2.61e4,15.644,0.081,182.921
71.487,2.61e4,15.644,0.081,182.921
71.987,2.61e4,15.644,0.081,182.921
72.487,2.61e4,15.644,0.081,182.921
72.987,2.61e4,15.644,0.081,182.921
73.487,2.61e4,15.644,0.081,182.921
73.987,2.61e4,15.644,0.081,182.921
74.487,2.61e4,15.644,0.081,182.921
74.987,2.61e4,15.644,0.081,182.921
75.487,2.61e4,15.644,0.081,182.921
75.987,2.61e4,15.644,0.081,182.921
76.487,2.61e4,15.644,0.081,182.921
76.987,2.61e4,15.644,0.081,182.921
77.487,2.61e4,15.644,0.081,182.921
77.987,2.61e4,15.644,0.081,182.921
78.487,2.61e4,15.644,0.081,182.921
78.987,2.61e4,15.644,0.081,182.921
79.487,2.61e4,15.644,0.081,182.921
79.987,2.61e4,15.644,0.081,182.921
80.487,2.61e4,15.644,0.081,182.921
80.987,2.61e4,15.644,0.081,182.921
81.487,2.61e4,15.644,0.081,182.921
81.987,2.61e4,15.644,0.081,182.921
82.487,2.61e4,15.644,0.081,182.921
82.987,2.61e4,15.644,0.081,182.921
83.487,2.61e4,15.644,0.081,182.921
83.987,2.61e4,15.644,0.081,182.921
84.487,2.61e4,15.644,0.081,182.921
84.987,2.61e4,15.644,0.081,182.921
85.487,2.61e4,15.644,0.081,182.921
85.987,2.61e4,15.644,0.081,182.921
86.487,2.61e4,15.644,0.081,182.921
86.987,2.61e4,15.644,0.081,182.921
87.487,2.61e4,15.644,0.081,182.921
87.987,2.61e4,15.644,0.081,182.921
88.487,2.61e4,15.644,0.081,182.921
88.987,2.61e4,15.644,0.081,182.921
89.487,2.61e4,15.644,0.081,182.921
89.987,2.61e4,15.644,0.081,182.921
90.487,2.61e4,15.644,0.081,182.921
90.987,2.61e4,15.644,0.081,182.921
91.487,2.61e4,15.644,0.081,182.921
91.987,2.61e4,15.644,0.081,182.921
92.487,2.61e4,15.644,0.081,182.921
92.987,2.61e4,15.644,0.081,182.921
93.487,2.61e4,15.644,0.081,182.921
93.987,2.61e4,15.644,0.081,182.921
94.487,2.61e4,15.644,0.081,182.921
94.987,2.61e4,15.644,0.081,182.921
95.487,2.61e4,15.644,0.081,182.921
95.987,2.61e4,15.644,0.081,182.921
96.487,2.61e4,15.644,0.081,182.921
96.987,2.61e4,15.644,0.081,182.921
97.487,2.61e4,15.644,0.081,182.921
97.987,2.61e4,15.644,0.081,182.921
98.487,2.61e4,15.644,0.081,182.921
98.987,2.61e4,15.644,0.081,182.921
99.487,2.61e4,15.644,0.081,182.921
99.987,2.61e4,15.644,0.081,182.921
100.487,2.61e4,15.644,0.081,182.921
100.987,2.61e4,15.644,0.081,182.921
101.487,2.61e4,15.644,0.081,182.921
101.987,2.61e4,15.644,0.081,182.921
102.487,2.61e4,15.644,0.081,182.921
102.987,2.61e4,15.644,0.081,182.921
103.487,2.61e4,15.644,0.081,182.921
103.987,2.61e4,15.644,0.081,182.921
104.487,2.61e4,15.644,0.081,182.921
104.987,2.61e4,15.644,0.081,182.921
105.487,2.61e4,15.644,0.081,182.921
105.987,2.61e4,15.644,0.081,182.921
106.487,2.61e4,15.644,0.081,182.921
106.987,2.61e4,15.644,0.081,182.921
107.487,2.61e4,15.644,0.081,182.921
107.987,2.61e4,15.644,0.081,182.921
108.487,2.61e4,15.644,0.081,182.921
108.987,2.61e4,15.644,0.081,182.921
109.487,2.61e4,15.644,0.081,182.921
109.987,2.61e4,15.644,0.081,182.921
110.487,2.61e4,15.644,0.081,182.921
110.987,2.61e4,15.644,0.081,182.921
111.487,2.61e4,15.644,0.081,182.921
111.987,2.61e4,15.644,0.081,182.921
112.487,2.61e4,15.644,0.081,182.921
112.987,2.61e4,15.644,0.081,182.921
113.487,2.61e4,15.644,0.081,182.921
113.987,2.61e4,15.644,0.081,182.921
114.487,2.61e4,15.644,0.081,182.921
114.987,2.61e4,15.644,0.081,182.921
115.487,2.61e4,15.644,0.081,182.921
115.987,2.61e4,15.644,0.081,182.921
116.487,2.61e4,15.644,0.081,182.921
116.987,2.61e4,15.644,0.081,182.921
117.487,2.61e4,15.644,0.081,182.921
117.987,2.61e4,15.644,0.081,182.921
118.487,2.61e4,15.644,0.081,182.921
118.987,2.61e4,15.644,0.081,182.921
119.487,2.61e4,15.644,0.081,182.921
119.987,2.61e4,15.644,0.081,182.921
120.487,2.61e4,15.644,0.081,182.921
120.987,2.61e4,15.644,0.081,182.921
121.487,2.61e4,15.644,0.081,182.921
121.987,2.61e4,15.644,0.081,182.921
122.487,2.61e4,15.644,0.081,182.921
122.987,2.61e4,15.644,0.081,182.921
123.487,2.61e4,15.644,0.081,182.921
123.987,2.61e4,15.644,0.081,182.921
124.487,2.61e4,15.644,0.081,182.921
124.987,2.61e4,15.644,0.081,182.921
125.487,2.61e4,15.644,0.081,182.921
125.987,2.61e4,15.644,0.081,182.921
126.487,2.61e4,15.644,0.081,182.921
126.987,2.61e4,15.644,0.081,182.921
127.487,2.61e4,15.644,0.081,182.921
127.987,2.61e4,15.644,0.081,182.921
128.487,2.61e4,15.644,0.081,182.921
128.987,2.61e4,15.644,0.081,182.921
129.487,2.61e4,15.644,0.081,182.921
129.987,2.61e4,15.644,0.081,182.921
130.487,2.61e4,15.644,0.081,182.921
130.987,2.61e4,15.644,0.081,182.921
131.487,2.61e4,15.644,0.081,182.921
131.987,2.61e4,15.644,0.081,182.921
132.487,2.61e4,15.644,0.081,182.921
132.987,2.61e4,15.644,0.081,182.921
133.487,2.61e4,15.644,0.081,182.921
133.987,2.61e4,15.644,0.081,182.921
134.487,2.61e4,15.644,0.081,182.921
134.987,2.61e4,15.644,0.081,182.921
135.487,2.61e4,15.644,0.081,182.921
135.987,2.61e4,15.644,0.081,182.921
136.487,2.61e4,15.644,0.081,182.921
136.987,2.61e4,15.644,0.081,182.921
137.487,2.61e4,15.644,0.081,182.921
137.987,2.61e4,15.644,0.081,182.921
# Event SIM_WARN occurred at t=137.988 seconds: Recovery device deployment at high speed (26,4 m/s):  "main"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=137.988 seconds
137.988,2.61e4,15.644,0.081,182.921
137.992,2.61e4,15.644,0.081,182.921
137.997,2.61e4,15.644,0.081,182.921
138.003,2.61e4,15.644,0.081,182.921
138.009,2.61e4,15.644,0.081,182.921
138.015,2.61e4,15.644,0.081,182.921
138.022,2.61e4,15.644,0.081,182.921
138.03,2.61e4,15.644,0.081,182.921
138.039,2.61e4,15.644,0.081,182.921
138.049,2.61e4,15.644,0.081,182.921
138.061,2.61e4,15.644,0.081,182.921
138.074,2.61e4,15.644,0.081,182.921
138.089,2.61e4,15.644,0.081,182.921
138.106,2.61e4,15.644,0.081,182.921
138.127,2.61e4,15.644,0.081,182.921
138.152,2.61e4,15.644,0.081,182.921
138.183,2.61e4,15.644,0.081,182.921
138.223,2.61e4,15.644,0.081,182.921
138.277,2.61e4,15.644,0.081,182.921
138.355,2.61e4,15.644,0.081,182.921
138.484,2.61e4,15.644,0.081,182.921
138.726,2.61e4,15.644,0.081,182.921
139.003,2.61e4,15.644,0.081,182.921
139.282,2.61e4,15.644,0.081,182.921
139.562,2.61e4,15.644,0.081,182.921
139.841,2.61e4,15.644,0.081,182.921
140.121,2.61e4,15.644,0.081,182.921
140.4,2.61e4,15.644,0.081,182.921
140.68,2.61e4,15.644,0.081,182.921
140.959,2.61e4,15.644,0.081,182.921
141.239,2.61e4,15.644,0.081,182.921
141.518,2.61e4,15.644,0.081,182.921
141.798,2.61e4,15.644,0.081,182.921
142.077,2.61e4,15.644,0.081,182.921
142.357,2.61e4,15.644,0.081,182.921
142.636,2.61e4,15.644,0.081,182.921
142.915,2.61e4,15.644,0.081,182.921
143.195,2.61e4,15.644,0.081,182.921
143.474,2.61e4,15.644,0.081,182.921
143.753,2.61e4,15.644,0.081,182.921
144.033,2.61e4,15.644,0.081,182.921
144.312,2.61e4,15.644,0.081,182.921
144.591,2.61e4,15.644,0.081,182.921
144.87,2.61e4,15.644,0.081,182.921
145.15,2.61e4,15.644,0.081,182.921
145.429,2.61e4,15.644,0.081,182.921
145.708,2.61e4,15.644,0.081,182.921
145.987,2.61e4,15.644,0.081,182.921
146.266,2.61e4,15.644,0.081,182.921
146.545,2.61e4,15.644,0.081,182.921
146.824,2.61e4,15.644,0.081,182.921
147.103,2.61e4,15.644,0.081,182.921
147.382,2.61e4,15.644,0.081,182.921
147.661,2.61e4,15.644,0.081,182.921
147.94,2.61e4,15.644,0.081,182.921
148.219,2.61e4,15.644,0.081,182.921
148.498,2.61e4,15.644,0.081,182.921
148.777,2.61e4,15.644,0.081,182.921
149.056,2.61e4,15.644,0.081,182.921
149.335,2.61e4,15.644,0.081,182.921
149.614,2.61e4,15.644,0.081,182.921
149.893,2.61e4,15.644,0.081,182.921
150.171,2.61e4,15.644,0.081,182.921
150.45,2.61e4,15.644,0.081,182.921
150.729,2.61e4,15.644,0.081,182.921
151.008,2.61e4,15.644,0.081,182.921
151.286,2.61e4,15.644,0.081,182.921
151.565,2.61e4,15.644,0.081,182.921
151.844,2.61e4,15.644,0.081,182.921
152.122,2.61e4,15.644,0.081,182.921
152.401,2.61e4,15.644,0.081,182.921
152.679,2.61e4,15.644,0.081,182.921
152.958,2.61e4,15.644,0.081,182.921
153.237,2.61e4,15.644,0.081,182.921
153.515,2.61e4,15.644,0.081,182.921
153.794,2.61e4,15.644,0.081,182.921
154.072,2.61e4,15.644,0.081,182.921
154.351,2.61e4,15.644,0.081,182.921
154.629,2.61e4,15.644,0.081,182.921
154.908,2.61e4,15.644,0.081,182.921
155.186,2.61e4,15.644,0.081,182.921
155.464,2.61e4,15.644,0.081,182.921
155.743,2.61e4,15.644,0.081,182.921
156.021,2.61e4,15.644,0.081,182.921
156.299,2.61e4,15.644,0.081,182.921
156.578,2.61e4,15.644,0.081,182.921
156.856,2.61e4,15.644,0.081,182.921
157.134,2.61e4,15.644,0.081,182.921
157.412,2.61e4,15.644,0.081,182.921
157.691,2.61e4,15.644,0.081,182.921
157.969,2.61e4,15.644,0.081,182.921
158.247,2.61e4,15.644,0.081,182.921
158.525,2.61e4,15.644,0.081,182.921
158.803,2.61e4,15.644,0.081,182.921
159.081,2.61e4,15.644,0.081,182.921
159.359,2.61e4,15.644,0.081,182.921
159.638,2.61e4,15.644,0.081,182.921
159.916,2.61e4,15.644,0.081,182.921
160.194,2.61e4,15.644,0.081,182.921
160.472,2.61e4,15.644,0.081,182.921
160.75,2.61e4,15.644,0.081,182.921
161.028,2.61e4,15.644,0.081,182.921
161.306,2.61e4,15.644,0.081,182.921
161.584,2.61e4,15.644,0.081,182.921
161.861,2.61e4,15.644,0.081,182.921
162.139,2.61e4,15.644,0.081,182.921
162.417,2.61e4,15.644,0.081,182.921
162.695,2.61e4,15.644,0.081,182.921
162.973,2.61e4,15.644,0.081,182.921
163.251,2.61e4,15.644,0.081,182.921
163.529,2.61e4,15.644,0.081,182.921
163.807,2.61e4,15.644,0.081,182.921
164.085,2.61e4,15.644,0.081,182.921
164.362,2.61e4,15.644,0.081,182.921
164.64,2.61e4,15.644,0.081,182.921
164.918,2.61e4,15.644,0.081,182.921
165.195,2.61e4,15.644,0.081,182.921
165.473,2.61e4,15.644,0.081,182.921
165.751,2.61e4,15.644,0.081,182.921
166.028,2.61e4,15.644,0.081,182.921
166.306,2.61e4,15.644,0.081,182.921
166.584,2.61e4,15.644,0.081,182.921
166.861,2.61e4,15.644,0.081,182.921
167.139,2.61e4,15.644,0.081,182.921
167.416,2.61e4,15.644,0.081,182.921
167.694,2.61e4,15.644,0.081,182.921
167.971,2.61e4,15.644,0.081,182.921
168.249,2.61e4,15.644,0.081,182.921
168.526,2.61e4,15.644,0.081,182.921
168.804,2.61e4,15.644,0.081,182.921
169.081,2.61e4,15.644,0.081,182.921
169.359,2.61e4,15.644,0.081,182.921
169.636,2.61e4,15.644,0.081,182.921
169.913,2.61e4,15.644,0.081,182.921
170.191,2.61e4,15.644,0.081,182.921
170.468,2.61e4,15.644,0.081,182.921
170.745,2.61e4,15.644,0.081,182.921
171.023,2.61e4,15.644,0.081,182.921
171.3,2.61e4,15.644,0.081,182.921
171.577,2.61e4,15.644,0.081,182.921
171.854,2.61e4,15.644,0.081,182.921
172.132,2.61e4,15.644,0.081,182.921
172.409,2.61e4,15.644,0.081,182.921
172.686,2.61e4,15.644,0.081,182.921
172.963,2.61e4,15.644,0.081,182.921
173.24,2.61e4,15.644,0.081,182.921
173.517,2.61e4,15.644,0.081,182.921
173.794,2.61e4,15.644,0.081,182.921
174.071,2.61e4,15.644,0.081,182.921
174.348,2.61e4,15.644,0.081,182.921
174.625,2.61e4,15.644,0.081,182.921
174.902,2.61e4,15.644,0.081,182.921
175.179,2.61e4,15.644,0.081,182.921
175.456,2.61e4,15.644,0.081,182.921
175.733,2.61e4,15.644,0.081,182.921
176.01,2.61e4,15.644,0.081,182.921
176.287,2.61e4,15.644,0.081,182.921
176.564,2.61e4,15.644,0.081,182.921
176.841,2.61e4,15.644,0.081,182.921
177.118,2.61e4,15.644,0.081,182.921
177.395,2.61e4,15.644,0.081,182.921
177.671,2.61e4,15.644,0.081,182.921
177.948,2.61e4,15.644,0.081,182.921
178.448,2.61e4,15.644,0.081,182.921
178.725,2.61e4,15.644,0.081,182.921
179.001,2.61e4,15.644,0.081,182.921
179.278,2.61e4,15.644,0.081,182.921
179.555,2.61e4,15.644,0.081,182.921
179.831,2.61e4,15.644,0.081,182.921
180.108,2.61e4,15.644,0.081,182.921
180.385,2.61e4,15.644,0.081,182.921
180.661,2.61e4,15.644,0.081,182.921
180.938,2.61e4,15.644,0.081,182.921
181.214,2.61e4,15.644,0.081,182.921
181.491,2.61e4,15.644,0.081,182.921
181.767,2.61e4,15.644,0.081,182.921
182.044,2.61e4,15.644,0.081,182.921
182.32,2.61e4,15.644,0.081,182.921
182.597,2.61e4,15.644,0.081,182.921
182.873,2.61e4,15.644,0.081,182.921
183.149,2.61e4,15.644,0.081,182.921
183.426,2.61e4,15.644,0.081,182.921
183.702,2.61e4,15.644,0.081,182.921
183.978,2.61e4,15.644,0.081,182.921
184.255,2.61e4,15.644,0.081,182.921
184.531,2.61e4,15.644,0.081,182.921
184.807,2.61e4,15.644,0.081,182.921
185.084,2.61e4,15.644,0.081,182.921
185.36,2.61e4,15.644,0.081,182.921
185.636,2.61e4,15.644,0.081,182.921
185.912,2.61e4,15.644,0.081,182.921
186.189,2.61e4,15.644,0.081,182.921
186.465,2.61e4,15.644,0.081,182.921
186.741,2.61e4,15.644,0.081,182.921
187.017,2.61e4,15.644,0.081,182.921
187.293,2.61e4,15.644,0.081,182.921
187.569,2.61e4,15.644,0.081,182.921
187.845,2.61e4,15.644,0.081,182.921
188.121,2.61e4,15.644,0.081,182.921
188.397,2.61e4,15.644,0.081,182.921
188.673,2.61e4,15.644,0.081,182.921
188.949,2.61e4,15.644,0.081,182.921
189.225,2.61e4,15.644,0.081,182.921
189.501,2.61e4,15.644,0.081,182.921
189.777,2.61e4,15.644,0.081,182.921
190.052,2.61e4,15.644,0.081,182.921
190.552,2.61e4,15.644,0.081,182.921
190.828,2.61e4,15.644,0.081,182.921
191.104,2.61e4,15.644,0.081,182.921
191.38,2.61e4,15.644,0.081,182.921
191.656,2.61e4,15.644,0.081,182.921
191.931,2.61e4,15.644,0.081,182.921
192.207,2.61e4,15.644,0.081,182.921
192.483,2.61e4,15.644,0.081,182.921
192.758,2.61e4,15.644,0.081,182.921
193.034,2.61e4,15.644,0.081,182.921
193.31,2.61e4,15.644,0.081,182.921
193.585,2.61e4,15.644,0.081,182.921
193.861,2.61e4,15.644,0.081,182.921
194.137,2.61e4,15.644,0.081,182.921
194.413,2.61e4,15.644,0.081,182.921
194.688,2.61e4,15.644,0.081,182.921
194.964,2.61e4,15.644,0.081,182.921
195.239,2.61e4,15.644,0.081,182.921
195.515,2.61e4,15.644,0.081,182.921
195.79,2.61e4,15.644,0.081,182.921
196.066,2.61e4,15.644,0.081,182.921
196.341,2.61e4,15.644,0.081,182.921
196.617,2.61e4,15.644,0.081,182.921
196.892,2.61e4,15.644,0.081,182.921
197.167,2.61e4,15.644,0.081,182.921
197.443,2.61e4,15.644,0.081,182.921
197.718,2.61e4,15.644,0.081,182.921
197.993,2.61e4,15.644,0.081,182.921
198.269,2.61e4,15.644,0.081,182.921
198.544,2.61e4,15.644,0.081,182.921
198.819,2.61e4,15.644,0.081,182.921
199.094,2.61e4,15.644,0.081,182.921
199.37,2.61e4,15.644,0.081,182.921
199.645,2.61e4,15.644,0.081,182.921
199.92,2.61e4,15.644,0.081,182.921
200.195,2.61e4,15.644,0.081,182.921
200.47,2.61e4,15.644,0.081,182.921
200.746,2.61e4,15.644,0.081,182.921
201.021,2.61e4,15.644,0.081,182.921
201.296,2.61e4,15.644,0.081,182.921
201.571,2.61e4,15.644,0.081,182.921
201.846,2.61e4,15.644,0.081,182.921
202.121,2.61e4,15.644,0.081,182.921
202.396,2.61e4,15.644,0.081,182.921
202.671,2.61e4,15.644,0.081,182.921
202.946,2.61e4,15.644,0.081,182.921
203.221,2.61e4,15.644,0.081,182.921
203.495,2.61e4,15.644,0.081,182.921
203.77,2.61e4,15.644,0.081,182.921
204.045,2.61e4,15.644,0.081,182.921
204.32,2.61e4,15.644,0.081,182.921
204.595,2.61e4,15.644,0.081,182.921
204.87,2.61e4,15.644,0.081,182.921
205.145,2.61e4,15.644,0.081,182.921
205.419,2.61e4,15.644,0.081,182.921
205.694,2.61e4,15.644,0.081,182.921
205.969,2.61e4,15.644,0.081,182.921
206.243,2.61e4,15.644,0.081,182.921
206.518,2.61e4,15.644,0.081,182.921
206.793,2.61e4,15.644,0.081,182.921
207.068,2.61e4,15.644,0.081,182.921
207.342,2.61e4,15.644,0.081,182.921
207.617,2.61e4,15.644,0.081,182.921
207.891,2.61e4,15.644,0.081,182.921
208.166,2.61e4,15.644,0.081,182.921
208.441,2.61e4,15.644,0.081,182.921
208.715,2.61e4,15.644,0.081,182.921
208.99,2.61e4,15.644,0.081,182.921
209.265,2.61e4,15.644,0.081,182.921
209.539,2.61e4,15.644,0.081,182.921
209.814,2.61e4,15.644,0.081,182.921
210.088,2.61e4,15.644,0.081,182.921
210.363,2.61e4,15.644,0.081,182.921
210.637,2.61e4,15.644,0.081,182.921
210.911,2.61e4,15.644,0.081,182.921
211.186,2.61e4,15.644,0.081,182.921
211.46,2.61e4,15.644,0.081,182.921
211.734,2.61e4,15.644,0.081,182.921
212.009,2.61e4,15.644,0.081,182.921
212.284,2.61e4,15.644,0.081,182.921
212.558,2.61e4,15.644,0.081,182.921
212.833,2.61e4,15.644,0.081,182.921
213.107,2.61e4,15.644,0.081,182.921
213.381,2.61e4,15.644,0.081,182.921
213.655,2.61e4,15.644,0.081,182.921
213.929,2.61e4,15.644,0.081,182.921
214.204,2.61e4,15.644,0.081,182.921
214.478,2.61e4,15.644,0.081,182.921
214.752,2.61e4,15.644,0.081,182.921
215.026,2.61e4,15.644,0.081,182.921
215.3,2.61e4,15.644,0.081,182.921
215.574,2.61e4,15.644,0.081,182.921
215.848,2.61e4,15.644,0.081,182.921
216.122,2.61e4,15.644,0.081,182.921
216.396,2.61e4,15.644,0.081,182.921
216.67,2.61e4,15.644,0.081,182.921
216.945,2.61e4,15.644,0.081,182.921
217.219,2.61e4,15.644,0.081,182.921
217.493,2.61e4,15.644,0.081,182.921
217.766,2.61e4,15.644,0.081,182.921
218.041,2.61e4,15.644,0.081,182.921
218.315,2.61e4,15.644,0.081,182.921
218.588,2.61e4,15.644,0.081,182.921
218.862,2.61e4,15.644,0.081,182.921
219.136,2.61e4,15.644,0.081,182.921
219.41,2.61e4,15.644,0.081,182.921
219.684,2.61e4,15.644,0.081,182.921
# Event GROUND_HIT occurred at t=219.996 seconds
# Event SIMULATION_END occurred at t=219.996 seconds
219.996,2.61e4,15.644,0.081,182.921
