# Atlas_v1.0 (Up to date)
# 1159 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26,4 m/s):  "main"
#
# Tempo (s),Massa (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.697,2.627e4,15.816,0.081,183.543
3.747,2.625e4,15.789,0.081,183.447
3.797,2.622e4,15.763,0.081,183.351
3.847,2.619e4,15.736,0.081,183.254
3.878,2.618e4,15.719,0.081,183.194
3.925,2.617e4,15.712,0.081,183.168
3.975,2.616e4,15.705,0.081,183.141
4.025,2.616e4,15.697,0.081,183.113
4.075,2.615e4,15.689,0.081,183.086
4.125,2.614e4,15.682,0.081,183.058
4.175,2.613e4,15.674,0.081,183.03
4.225,2.613e4,15.667,0.081,183.003
4.275,2.612e4,15.659,0.081,182.975
4.325,2.611e4,15.651,0.081,182.947
# Event BURNOUT occurred at t=4.371 seconds
# Event EJECTION_CHARGE occurred at t=4.371 seconds
4.371,2.61e4,15.644,0.081,182.921
4.421,2.61e4,15.644,0.081,182.921
4.471,2.61e4,15.644,0.081,182.921
4.521,2.61e4,15.644,0.081,182.921
4.571,2.61e4,15.644,0.081,182.921
4.621,2.61e4,15.644,0.081,182.921
4.671,2.61e4,15.644,0.081,182.921
4.721,2.61e4,15.644,0.081,182.921
4.771,2.61e4,15.644,0.081,182.921
4.821,2.61e4,15.644,0.081,182.921
4.871,2.61e4,15.644,0.081,182.921
4.921,2.61e4,15.644,0.081,182.921
4.971,2.61e4,15.644,0.081,182.921
5.021,2.61e4,15.644,0.081,182.921
5.071,2.61e4,15.644,0.081,182.921
5.121,2.61e4,15.644,0.081,182.921
5.171,2.61e4,15.644,0.081,182.921
5.221,2.61e4,15.644,0.081,182.921
5.271,2.61e4,15.644,0.081,182.921
5.321,2.61e4,15.644,0.081,182.921
5.371,2.61e4,15.644,0.081,182.921
5.421,2.61e4,15.644,0.081,182.921
5.471,2.61e4,15.644,0.081,182.921
5.521,2.61e4,15.644,0.081,182.921
5.571,2.61e4,15.644,0.081,182.921
5.621,2.61e4,15.644,0.081,182.921
5.671,2.61e4,15.644,0.081,182.921
5.721,2.61e4,15.644,0.081,182.921
5.771,2.61e4,15.644,0.081,182.921
5.821,2.61e4,15.644,0.081,182.921
5.871,2.61e4,15.644,0.081,182.921
5.921,2.61e4,15.644,0.081,182.921
5.971,2.61e4,15.644,0.081,182.921
6.021,2.61e4,15.644,0.081,182.921
6.071,2.61e4,15.644,0.081,182.921
6.121,2.61e4,15.644,0.081,182.921
6.171,2.61e4,15.644,0.081,182.921
6.221,2.61e4,15.644,0.081,182.921
6.271,2.61e4,15.644,0.081,182.921
6.321,2.61e4,15.644,0.081,182.921
6.371,2.61e4,15.644,0.081,182.921
6.421,2.61e4,15.644,0.081,182.921
6.471,2.61e4,15.644,0.081,182.921
6.521,2.61e4,15.644,0.081,182.921
6.571,2.61e4,15.644,0.081,182.921
6.621,2.61e4,15.644,0.081,182.921
6.671,2.61e4,15.644,0.081,182.921
6.721,2.61e4,15.644,0.081,182.921
6.771,2.61e4,15.644,0.081,182.921
6.821,2.61e4,15.644,0.081,182.921
6.871,2.61e4,15.644,0.081,182.921
6.921,2.61e4,15.644,0.081,182.921
6.971,2.61e4,15.644,0.081,182.921
7.021,2.61e4,15.644,0.081,182.921
7.071,2.61e4,15.644,0.081,182.921
7.121,2.61e4,15.644,0.081,182.921
7.171,2.61e4,15.644,0.081,182.921
7.221,2.61e4,15.644,0.081,182.921
7.271,2.61e4,15.644,0.081,182.921
7.321,2.61e4,15.644,0.081,182.921
7.371,2.61e4,15.644,0.081,182.921
7.421,2.61e4,15.644,0.081,182.921
7.471,2.61e4,15.644,0.081,182.921
7.521,2.61e4,15.644,0.081,182.921
7.571,2.61e4,15.644,0.081,182.921
7.621,2.61e4,15.644,0.081,182.921
7.671,2.61e4,15.644,0.081,182.921
7.721,2.61e4,15.644,0.081,182.921
7.771,2.61e4,15.644,0.081,182.921
7.821,2.61e4,15.644,0.081,182.921
7.871,2.61e4,15.644,0.081,182.921
7.921,2.61e4,15.644,0.081,182.921
7.971,2.61e4,15.644,0.081,182.921
8.021,2.61e4,15.644,0.081,182.921
8.071,2.61e4,15.644,0.081,182.921
8.121,2.61e4,15.644,0.081,182.921
8.171,2.61e4,15.644,0.081,182.921
8.221,2.61e4,15.644,0.081,182.921
8.271,2.61e4,15.644,0.081,182.921
8.321,2.61e4,15.644,0.081,182.921
8.371,2.61e4,15.644,0.081,182.921
8.421,2.61e4,15.644,0.081,182.921
8.471,2.61e4,15.644,0.081,182.921
8.521,2.61e4,15.644,0.081,182.921
8.571,2.61e4,15.644,0.081,182.921
8.621,2.61e4,15.644,0.081,182.921
8.671,2.61e4,15.644,0.081,182.921
8.721,2.61e4,15.644,0.081,182.921
8.771,2.61e4,15.644,0.081,182.921
8.821,2.61e4,15.644,0.081,182.921
8.871,2.61e4,15.644,0.081,182.921
8.921,2.61e4,15.644,0.081,182.921
8.971,2.61e4,15.644,0.081,182.921
9.021,2.61e4,15.644,0.081,182.921
9.071,2.61e4,15.644,0.081,182.921
9.121,2.61e4,15.644,0.081,182.921
9.171,2.61e4,15.644,0.081,182.921
9.221,2.61e4,15.644,0.081,182.921
9.271,2.61e4,15.644,0.081,182.921
9.321,2.61e4,15.644,0.081,182.921
9.371,2.61e4,15.644,0.081,182.921
9.421,2.61e4,15.644,0.081,182.921
9.471,2.61e4,15.644,0.081,182.921
9.521,2.61e4,15.644,0.081,182.921
9.571,2.61e4,15.644,0.081,182.921
9.621,2.61e4,15.644,0.081,182.921
9.671,2.61e4,15.644,0.081,182.921
9.721,2.61e4,15.644,0.081,182.921
9.771,2.61e4,15.644,0.081,182.921
9.821,2.61e4,15.644,0.081,182.921
9.871,2.61e4,15.644,0.081,182.921
9.921,2.61e4,15.644,0.081,182.921
9.971,2.61e4,15.644,0.081,182.921
10.021,2.61e4,15.644,0.081,182.921
10.071,2.61e4,15.644,0.081,182.921
10.121,2.61e4,15.644,0.081,182.921
10.171,2.61e4,15.644,0.081,182.921
10.221,2.61e4,15.644,0.081,182.921
10.271,2.61e4,15.644,0.081,182.921
10.321,2.61e4,15.644,0.081,182.921
10.371,2.61e4,15.644,0.081,182.921
10.421,2.61e4,15.644,0.081,182.921
10.471,2.61e4,15.644,0.081,182.921
10.521,2.61e4,15.644,0.081,182.921
10.571,2.61e4,15.644,0.081,182.921
10.621,2.61e4,15.644,0.081,182.921
10.671,2.61e4,15.644,0.081,182.921
10.721,2.61e4,15.644,0.081,182.921
10.771,2.61e4,15.644,0.081,182.921
10.821,2.61e4,15.644,0.081,182.921
10.871,2.61e4,15.644,0.081,182.921
10.921,2.61e4,15.644,0.081,182.921
10.971,2.61e4,15.644,0.081,182.921
11.021,2.61e4,15.644,0.081,182.921
11.071,2.61e4,15.644,0.081,182.921
11.121,2.61e4,15.644,0.081,182.921
11.171,2.61e4,15.644,0.081,182.921
11.221,2.61e4,15.644,0.081,182.921
11.271,2.61e4,15.644,0.081,182.921
11.321,2.61e4,15.644,0.081,182.921
11.371,2.61e4,15.644,0.081,182.921
