0.01000,246.12500
0.02000,930.85500
0.03000,1347.21800
0.04000,1302.73500
0.05000,1258.25200
0.06000,1240.35600
0.07000,1249.04800
0.08000,1257.74000
0.09000,1266.43200
0.10000,1275.12400
0.10900,1280.97500
0.11800,1283.83900
0.12600,1286.44700
0.13300,1288.85800
0.14000,1291.11100
0.14600,1293.23600
0.15600,1295.81700
0.17100,1299.68900
0.19200,1305.49600
0.22500,1311.93300
0.27400,1315.60000
0.32400,1319.97600
0.37400,1325.54300
0.42400,1330.26500
0.47400,1328.35100
0.52400,1325.57900
0.57400,1324.75600
0.62400,1324.27600
0.67400,1323.79600
0.72400,1322.23500
0.77400,1313.82400
0.82400,1303.95900
0.87400,1292.50700
0.92400,1280.34500
0.97400,1265.44700
1.02400,1249.99800
1.07400,1234.11400
1.12400,1218.94000
1.16900,1209.23800
1.21000,1201.03700
1.25700,1185.80000
1.30700,1166.04300
1.35700,1143.99000
1.39500,1123.71100
1.42900,1111.20300
1.47000,1106.28400
1.52000,1088.15600
1.57000,952.43200
1.60300,783.96600
1.64000,548.73500
1.69000,269.62400
1.70000,32.91200
