time,CG
0.136,177.357748471327
0.136013342162713,177.357701455749
0.136026684325427,177.357654440045
0.138726405887786,177.348138436713
0.141426127450144,177.33861724872
0.144125849012503,177.329090873154
0.146089653641354,177.322158031144
0.148053458270205,177.315222441522
0.150017262899056,177.308284103238
0.151981067527907,177.30134301517
0.155908676785609,177.287452585184
0.159836286043311,177.273551142565
0.163763895301013,177.259638678302
0.167691504558715,177.245715183373
0.171619113816417,177.231780648743
0.210895206393437,177.091826123233
0.250171298970457,176.950757604866
0.289447391547477,176.808565868128
0.328723484124497,176.665241569268
0.367999576701517,176.52077524443
0.407275669278538,176.375157307823
0.48755435786232,176.073896984902
0.567833046446103,175.767700236803
0.648111735029886,175.456480242684
0.728390423613668,175.140147845914
0.808669112197451,174.818611479325
0.888947800781234,174.491777087645
0.969226489365016,174.159548046343
1.08181538226868,173.684326340311
1.19440427517234,173.198014976833
1.306993168076,172.700319837601
1.32568995758164,172.616547982127
1.34438674708728,172.532452362672
1.36308353659292,172.448031537775
1.38178032609855,172.363284056584
1.38551968399968,172.346295233248
1.38925904190081,172.329293273548
1.39299839980193,172.312278165741
1.39303527799985,172.312110294719
1.39307215619776,172.311942423019
1.39310903439567,172.311774550642
1.39314591259358,172.311606677587
1.39318279079149,172.311438803854
1.39325654718731,172.311103054018
1.39333030358313,172.310767301471
1.39340405997895,172.310431546213
1.39414162393717,172.307073844518
1.39487918789539,172.303715871679
1.39561675185361,172.300357627664
1.39635431581183,172.296999112439
1.40372995539401,172.263399036455
1.41110559497619,172.229771803378
1.41848123455837,172.196117380279
1.42585687414055,172.162435734175
1.43323251372273,172.128726832029
1.49247748690732,171.856966605786
1.55172246009191,171.583428353451
1.6109674332765,171.308094571433
1.67021240646108,171.030947526578
1.72945737964567,170.751969251436
1.78870235283026,170.471141540309
1.87322623397894,170.067251009832
1.95775011512762,169.659504049952
2.0422739962763,169.247845176034
2.12679787742498,168.832217832656
2.14129788835813,168.760514296148
2.15579789929128,168.688691982644
2.15869790147791,168.674313240734
2.16159790366454,168.659929733568
2.16449790585117,168.645541458777
2.1673979080378,168.631148413991
2.16751390812527,168.630572593615
2.16762990821273,168.629996765603
2.1677459083002,168.629420929955
2.16786190838766,168.628845086671
2.16797790847513,168.62826923575
2.16820990865006,168.627117512448
2.16844190882499,168.62596576445
2.16867390899992,168.624813992049
2.17099391074922,168.613294925431
2.17331391249853,168.601773417601
2.17563391424783,168.590249467825
2.17788883126081,168.579046467467
2.18014374827378,168.56784115878
2.18239866528676,168.556633541196
2.18465358229973,168.545423614039
2.18916341632568,168.522996828306
2.19367325035164,168.500560796178
2.19818308437759,168.478115512249
2.20269291840354,168.455660971107
2.20720275242949,168.433197167336
2.252301092689,168.208048490602
2.29739943294851,167.981967563012
2.34249777320802,167.754948899842
2.38759611346754,167.526986974141
2.43269445372705,167.298076216198
2.47779279398656,167.068211013129
2.57140397514447,166.588005664815
2.66501515630239,166.103612391184
2.67952342408279,166.028160853736
2.69403169186319,165.952607278097
2.69693334541927,165.937484300741
2.69983499897535,165.922357232449
2.70273665253143,165.907226071649
2.70586681027785,165.890898746791
2.70627987894315,165.888743769057
2.70669294760845,165.886588708316
2.70710601627375,165.884433564565
2.70793215360435,165.880123028014
2.70794867635097,165.880036813911
2.70796519909758,165.879950599675
2.70798172184419,165.879864385307
2.7079982445908,165.879778170805
2.70801476733742,165.879691956438
2.70804781283064,165.879519527869
