# Simulation 2 (Up to date)
# 361 data points written for 4 variables.
#
# Massa (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
# Event EJECTION_CHARGE occurred at t=5.76 seconds
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
# Event APOGEE occurred at t=8.96 seconds
2283.557,0.115,0.004,37.014
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=8.961 seconds
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
2283.557,0.115,0.004,37.014
