time,cg_from_nose_m
0.0,1.7735774847132686
1.3283457590888576e-05,1.7735769639291177
2.6566915181777152e-05,1.7735764431442838
0.002009059324158214,1.773498710770349
0.0039915517331346505,1.7734209631735087
0.005974044142111087,1.7733432003492906
0.0073541371589923386,1.7732890575177411
0.008734230175873589,1.7732349073024727
0.010114323192754841,1.7731807497026528
0.011494416209636094,1.773126584716771
0.014254602243398596,1.773018232580775
0.0170147882771611,1.7729098508823906
0.0197749743109236,1.7728014396095217
0.022535160344686105,1.7726929987500593
0.02529534637844861,1.77258452829189
0.030518320483305085,1.7723791935545512
0.03574129458816156,1.7721737527097516
0.04096426869301804,1.771968205675179
0.041290136268407635,1.7719553778296393
0.04161600384379723,1.7719425495703984
0.04194187141918683,1.7719297208974356
0.042593606569966025,1.771904062310315
0.04271109961961655,1.7718994364735643
0.04282859266926707,1.7718948105830206
0.042946085718917594,1.7718901846386836
0.0429930829387778,1.7718883342458869
0.0430016074415326,1.7718879986159075
0.0430101319442874,1.7718876629898455
0.043027180949796996,1.7718869917449036
0.043044229955306594,1.7718863205156308
0.04306127896081619,1.7718856493020274
0.043231769015912136,1.7718789380278241
0.04340225907100808,1.771872228320643
0.043572749126104024,1.7718655201805664
0.04374323918119997,1.771858813607677
0.04544813973215944,1.7717918340921084
0.04715304028311891,1.7717250113854364
0.04885794083407838,1.771658345569521
0.050562841385037846,1.7715918367260464
0.052267741935997314,1.7715254849365254
0.06931674744559202,1.7708706228178663
0.08636575295518673,1.7702315544770069
0.10341475846478143,1.7696083585556774
0.12046376397437614,1.7690011119284035
0.13405148296270186,1.7685286195573335
0.13520251516466683,1.7684890629741525
0.13535196505958608,1.7684839323302433
0.13550141495450532,1.7684788029225988
0.13565086484942457,1.768473674751269
0.13594976463926306,1.7684634221177709
0.13600954459723075,1.7684613721668183
0.13604942798339664,1.7684600045500682
0.13608931136956254,1.7684586369224735
0.13612919475572843,1.7684572692840343
0.13620896152806022,1.768454533974623
